-10 0.5 30
2.5216 0.5 29.5216
0.008886	0.012037	0.015299	0.018660	0.022055	0.025498	0.028983	0.032487	0.036015	0.039586	0.043161	0.046715	0.050262	0.053782	0.057263	0.060710	0.064142	0.067529	0.070905	0.074279	0.077632	0.080995	0.084359	0.087724	0.091096	0.094478	0.097884	0.101362	0.104931	0.108581	0.112248	0.115885	0.119447	0.122908	0.126220	0.129345	0.132235	0.134845	0.137170	0.139163	0.140781	0.142007	0.142925	0.143480	0.143662	0.143627	0.143144	0.142407	0.141443	0.140094	0.138625	0.136926	0.134925	0.132834	0.130557	0.128065	0.125491	0.122719	0.119799	0.116774	0.113623	0.110332	0.106908	0.103379	0.099757	0.096015	0.092163	0.088232	0.084197	0.080068	0.075846	0.071561	0.067212	0.062764	0.058258	0.053674	0.048994	0.044283	0.039509	0.034625	0.029651
0.029584	0.035138	0.040700	0.046252	0.051761	0.057213	0.062563	0.067845	0.073072	0.078226	0.083340	0.088428	0.093483	0.098537	0.103594	0.108656	0.113734	0.118817	0.123940	0.129099	0.134371	0.139821	0.145413	0.151060	0.156652	0.162061	0.167230	0.172074	0.176473	0.180428	0.183876	0.186782	0.189144	0.190878	0.192072	0.192738	0.192940	0.192576	0.191799	0.190543	0.188962	0.187000	0.184686	0.182176	0.179378	0.176364	0.173122	0.169654	0.165976	0.162129	0.158088	0.153845	0.149464	0.144939	0.140230	0.135384	0.130381	0.125249	0.119986	0.114581	0.109080	0.103452	0.097704	0.091865	0.085888	0.079769	0.073585	0.067308	0.060902	0.054396	0.047853	0.041231	0.034468	0.027602	0.020642	0.013595	0.006477	-0.000709	-0.007982	-0.015378	-0.022845
0.061608	0.069230	0.076718	0.084084	0.091368	0.098571	0.105741	0.112925	0.120105	0.127314	0.134537	0.141811	0.149111	0.156440	0.163879	0.171531	0.179481	0.187688	0.195984	0.204008	0.211490	0.218413	0.224670	0.230074	0.234686	0.238632	0.241698	0.243964	0.245260	0.245902	0.245878	0.245189	0.243989	0.242107	0.239736	0.237073	0.233982	0.230545	0.226845	0.222827	0.218556	0.214011	0.209189	0.204147	0.198903	0.193407	0.187722	0.181831	0.175746	0.169476	0.163015	0.156384	0.149568	0.142597	0.135448	0.128112	0.120653	0.113084	0.105332	0.097380	0.089298	0.081137	0.072846	0.064399	0.055852	0.047233	0.038526	0.029653	0.020622	0.011446	0.002165	-0.007215	-0.016712	-0.026309	-0.036035	-0.045948	-0.055526	-0.064731	-0.073709	-0.082463	-0.091088
0.101604	0.111540	0.121436	0.131364	0.141361	0.151416	0.161527	0.171674	0.181883	0.192134	0.202527	0.213352	0.224857	0.236776	0.248390	0.258918	0.268108	0.276281	0.283690	0.289581	0.294150	0.298158	0.300976	0.302418	0.302905	0.302435	0.301518	0.299939	0.297461	0.294433	0.290984	0.287142	0.282868	0.278197	0.273208	0.267948	0.262389	0.256475	0.250250	0.243777	0.237029	0.230020	0.222781	0.215283	0.207542	0.199550	0.191274	0.182754	0.174096	0.165225	0.156078	0.146692	0.137183	0.127537	0.117669	0.107564	0.097279	0.086845	0.076269	0.065544	0.054665	0.043672	0.032597	0.021281	0.009703	-0.002072	-0.013982	-0.026033	-0.038251	-0.050635	-0.063159	-0.076019	-0.088559	-0.100377	-0.111950	-0.123321	-0.134511	-0.145433	-0.156194	-0.166902	-0.177906
0.149945	0.163456	0.177136	0.190907	0.204676	0.218430	0.232213	0.246646	0.262483	0.278921	0.294938	0.307921	0.318476	0.329017	0.338403	0.344715	0.349364	0.354307	0.357824	0.358724	0.358462	0.357744	0.356784	0.354932	0.351747	0.347973	0.343936	0.339495	0.334548	0.329112	0.323290	0.317198	0.310819	0.303929	0.296623	0.289101	0.281258	0.273024	0.264396	0.255446	0.246260	0.236846	0.227022	0.216796	0.206320	0.195687	0.184779	0.173539	0.162042	0.150327	0.138423	0.126285	0.113828	0.101105	0.088192	0.075108	0.061814	0.048313	0.034660	0.020902	0.006793	-0.007735	-0.022543	-0.037578	-0.052775	-0.068157	-0.083800	-0.099680	-0.116088	-0.132025	-0.146687	-0.161126	-0.175377	-0.189258	-0.202815	-0.216204	-0.229583	-0.243264	-0.255732	-0.265941	-0.274875
0.208805	0.226740	0.244642	0.262599	0.282403	0.303489	0.324665	0.341882	0.354987	0.367971	0.380662	0.388845	0.394403	0.400321	0.405806	0.407378	0.407393	0.407111	0.406599	0.405440	0.402738	0.398863	0.394974	0.390823	0.385999	0.380486	0.374516	0.368252	0.361693	0.354689	0.346972	0.338741	0.330270	0.321466	0.312183	0.302389	0.292164	0.281639	0.270821	0.259551	0.247794	0.235681	0.223281	0.210577	0.197509	0.184074	0.170333	0.156321	0.142022	0.127330	0.112237	0.096849	0.081202	0.065348	0.049222	0.032766	0.016183	-0.000737	-0.018253	-0.036201	-0.054599	-0.073299	-0.092195	-0.111257	-0.130534	-0.150301	-0.170555	-0.189256	-0.207017	-0.224671	-0.241600	-0.258084	-0.274353	-0.290427	-0.306749	-0.323314	-0.337151	-0.348257	-0.358413	-0.367674	-0.375275
0.281921	0.307070	0.332254	0.354773	0.374023	0.390170	0.404415	0.416924	0.425982	0.432826	0.438799	0.443728	0.445570	0.446360	0.446837	0.446786	0.445810	0.443649	0.440527	0.437216	0.433578	0.429182	0.424038	0.418345	0.412223	0.405665	0.398609	0.390814	0.382378	0.373592	0.364377	0.354524	0.344070	0.333132	0.321791	0.310055	0.297709	0.284741	0.271308	0.257515	0.243311	0.228590	0.213376	0.197757	0.181763	0.165370	0.148525	0.131134	0.113276	0.095007	0.076354	0.057379	0.038095	0.018417	-0.001564	-0.022195	-0.043654	-0.065558	-0.087860	-0.110454	-0.133333	-0.156536	-0.179975	-0.204065	-0.228589	-0.250871	-0.272273	-0.293165	-0.313071	-0.332791	-0.352368	-0.371705	-0.391302	-0.411210	-0.427155	-0.439750	-0.451225	-0.461124	-0.470649	-0.479961	-0.488844
0.357503	0.380655	0.398558	0.413569	0.427764	0.439574	0.447541	0.453932	0.459957	0.464586	0.467228	0.469096	0.470321	0.471076	0.471119	0.470039	0.468245	0.465994	0.463027	0.459285	0.454904	0.449998	0.444562	0.438441	0.431538	0.423847	0.415611	0.406918	0.397561	0.387379	0.376453	0.364971	0.353030	0.340505	0.327163	0.313048	0.298322	0.283134	0.267443	0.251068	0.233984	0.216338	0.198293	0.179718	0.160450	0.140371	0.119702	0.098650	0.077010	0.054770	0.032009	0.008782	-0.014637	-0.038704	-0.063961	-0.089909	-0.116345	-0.143100	-0.170207	-0.197631	-0.225290	-0.253415	-0.282520	-0.309797	-0.335225	-0.359842	-0.383467	-0.406782	-0.429942	-0.452619	-0.474467	-0.498092	-0.519435	-0.535524	-0.549539	-0.561244	-0.572755	-0.584169	-0.595465	-0.606684	-0.617915
0.388437	0.403790	0.418387	0.430706	0.439905	0.447919	0.455690	0.462126	0.467058	0.471376	0.475176	0.478317	0.480433	0.481556	0.482005	0.481909	0.481122	0.479509	0.476995	0.473714	0.469730	0.465005	0.459458	0.453034	0.445803	0.437828	0.429056	0.419366	0.408816	0.397523	0.385497	0.372639	0.358853	0.344143	0.328635	0.312435	0.295537	0.277831	0.259190	0.239736	0.219643	0.198909	0.177417	0.154798	0.131169	0.106908	0.082019	0.056507	0.030369	0.003567	-0.023652	-0.051444	-0.080616	-0.110876	-0.141697	-0.172904	-0.204412	-0.236278	-0.268544	-0.301161	-0.335008	-0.368699	-0.399287	-0.428430	-0.456230	-0.482846	-0.509612	-0.536205	-0.562821	-0.590359	-0.617975	-0.640373	-0.658600	-0.673809	-0.688093	-0.702416	-0.716235	-0.729965	-0.743702	-0.757573	-0.772079
0.368013	0.383624	0.396411	0.408006	0.419443	0.429864	0.438628	0.446751	0.454393	0.461420	0.467584	0.472763	0.476976	0.480396	0.483003	0.484710	0.485386	0.485076	0.483897	0.481805	0.478713	0.474577	0.469421	0.463317	0.456222	0.448015	0.438713	0.428431	0.417189	0.404913	0.391496	0.376919	0.361350	0.344842	0.327308	0.308673	0.288947	0.268245	0.246651	0.223968	0.200198	0.175211	0.149048	0.121999	0.094124	0.065383	0.035795	0.005331	-0.025805	-0.057388	-0.090092	-0.124496	-0.159701	-0.195420	-0.231643	-0.268327	-0.305462	-0.343078	-0.381336	-0.420865	-0.459087	-0.492635	-0.525066	-0.556817	-0.588732	-0.620261	-0.651358	-0.682772	-0.715141	-0.748074	-0.774531	-0.795568	-0.813028	-0.830360	-0.847358	-0.864357	-0.881495	-0.898757	-0.916152	-0.934229	-0.953057
